Order ID,country_id,product_id,channel_id,Order Priority,Order Date,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
451691138,1,1,1,C,2011-04-04,2011-05-23,4300,421.89,364.69,1814127.0,1568167.0,245960.0
144177377,2,2,1,L,2018-07-12,2018-08-01,4145,81.73,56.67,338770.85,234897.15,103873.7
982716166,3,3,1,H,2011-07-06,2011-07-17,6407,437.2,263.33,2801140.4,1687155.31,1113985.09
784543836,4,2,2,L,2011-05-01,2011-05-11,2810,81.73,56.67,229661.3,159242.7,70418.6
137209212,5,4,1,H,2013-11-15,2013-12-29,2110,9.33,6.92,19686.3,14601.2,5085.1
148573625,6,4,2,C,2016-07-16,2016-07-18,5092,9.33,6.92,47508.36,35236.64,12271.72
196810901,7,5,2,C,2012-11-15,2012-12-01,9574,47.45,31.79,454286.3,304357.46,149928.84
180407369,1,3,2,L,2019-04-30,2019-05-25,5404,437.2,263.33,2362628.8,1423035.32,939593.48
968161857,8,3,2,C,2016-05-29,2016-06-08,9463,437.2,263.33,4137223.6,2491891.79,1645331.81
349185693,9,6,1,M,2018-03-25,2018-04-08,661,109.28,35.84,72234.08,23690.24,48543.84
682902705,10,5,1,H,2013-08-28,2013-09-18,4941,47.45,31.79,234450.45,157074.39,77376.06
349049222,11,4,1,L,2014-06-17,2014-07-10,276,9.33,6.92,2575.08,1909.92,665.16
497674071,12,2,1,H,2017-11-11,2017-11-16,1672,81.73,56.67,136652.56,94752.24,41900.32
999138581,13,1,1,M,2011-11-26,2011-12-10,6164,421.89,364.69,2600529.96,2247949.16,352580.8
894116580,14,1,2,H,2012-11-09,2012-12-13,7820,421.89,364.69,3299179.8,2851875.8,447304.0
643594396,15,7,1,M,2017-02-11,2017-02-24,2739,205.7,117.11,563412.3,320764.29,242648.01
778870856,16,8,2,C,2017-03-25,2017-05-03,4049,668.27,502.54,2705825.23,2034784.46,671040.77
551557290,17,1,2,M,2017-12-11,2017-12-20,6914,421.89,364.69,2916947.46,2521466.66,395480.8
183577525,18,5,2,M,2020-02-29,2020-03-13,3524,47.45,31.79,167213.8,112027.96,55185.84
417167890,16,9,2,H,2015-08-06,2015-08-08,8104,152.58,97.44,1236508.32,789653.76,446854.56
264877212,12,8,2,C,2013-07-04,2013-07-20,1908,668.27,502.54,1275059.16,958846.32,316212.84
159566819,19,7,2,H,2013-12-17,2013-12-24,8223,205.7,117.11,1691471.1,962995.53,728475.57
604410541,20,4,1,H,2013-03-08,2013-03-25,7365,9.33,6.92,68715.45,50965.8,17749.65
822894704,21,9,2,L,2019-08-06,2019-09-25,1684,152.58,97.44,256944.72,164088.96,92855.76
108818137,22,6,2,L,2016-05-22,2016-07-09,560,109.28,35.84,61196.8,20070.4,41126.4
976292169,23,1,2,H,2020-05-04,2020-05-21,5403,421.89,364.69,2279471.67,1970420.07,309051.6
609740626,14,9,2,L,2012-04-21,2012-04-23,4656,152.58,97.44,710412.48,453680.64,256731.84
313899838,24,3,1,H,2017-05-31,2017-06-11,8793,437.2,263.33,3844299.6,2315460.69,1528838.91
563818633,25,7,1,H,2014-03-05,2014-04-13,5318,205.7,117.11,1093912.6,622790.98,471121.62
554858338,26,9,2,L,2014-09-10,2014-10-25,3767,152.58,97.44,574768.86,367056.48,207712.38
452692782,23,9,2,L,2016-07-11,2016-08-07,709,152.58,97.44,108179.22,69084.96,39094.26
943308293,27,3,2,L,2018-09-28,2018-11-12,4741,437.2,263.33,2072765.2,1248447.53,824317.67
983003699,28,7,1,C,2016-07-23,2016-09-10,1494,205.7,117.11,307315.8,174962.34,132353.46
948390328,29,1,1,L,2017-05-27,2017-07-16,8628,421.89,364.69,3640066.92,3146545.32,493521.6
386392009,30,1,2,H,2014-02-24,2014-04-14,837,421.89,364.69,353121.93,305245.53,47876.4
264245069,31,10,2,H,2011-11-20,2011-11-30,4843,255.28,159.42,1236321.04,772071.06,464249.98
719498336,32,6,1,M,2011-11-05,2011-12-10,4401,109.28,35.84,480941.28,157731.84,323209.44
610013139,33,1,2,H,2016-10-09,2016-11-17,5298,421.89,364.69,2235173.22,1932127.62,303045.6
663963305,11,7,2,M,2014-11-13,2014-12-09,352,205.7,117.11,72406.4,41222.72,31183.68
329835164,34,9,2,C,2017-03-25,2017-04-07,4410,152.58,97.44,672877.8,429710.4,243167.4
926427543,35,11,1,L,2020-06-02,2020-06-07,9352,651.21,524.96,6090115.92,4909425.92,1180690.0
692851769,36,4,2,M,2011-10-20,2011-11-10,9090,9.33,6.92,84809.7,62902.8,21906.9
638531672,37,8,1,M,2017-09-04,2017-09-20,4566,668.27,502.54,3051320.82,2294597.64,756723.18
493203580,38,5,1,M,2012-05-21,2012-06-02,8754,47.45,31.79,415377.3,278289.66,137087.64
956916320,13,12,2,L,2019-11-20,2019-12-07,1659,154.06,90.93,255585.54,150852.87,104732.67
550031220,6,9,1,C,2012-03-06,2012-03-08,5316,152.58,97.44,811115.28,517991.04,293124.24
563222110,6,2,2,C,2010-11-18,2010-12-16,8793,81.73,56.67,718651.89,498299.31,220352.58
107475316,39,2,2,H,2017-09-26,2017-10-12,3189,81.73,56.67,260636.97,180720.63,79916.34
164089667,40,2,1,M,2019-12-11,2020-01-09,6634,81.73,56.67,542196.82,375948.78,166248.04
434676492,41,1,2,H,2016-11-25,2017-01-06,9288,421.89,364.69,3918514.32,3387240.72,531273.6
691159617,42,7,1,M,2014-11-12,2014-11-29,8345,205.7,117.11,1716566.5,977282.95,739283.55
325775372,19,9,2,C,2010-11-21,2010-12-22,3027,152.58,97.44,461859.66,294950.88,166908.78
601072585,43,2,2,L,2019-08-02,2019-09-20,9590,81.73,56.67,783790.7,543465.3,240325.4
599912583,44,1,1,H,2014-04-12,2014-05-30,6320,421.89,364.69,2666344.8,2304840.8,361504.0
375469195,45,12,1,L,2017-12-07,2018-01-20,8534,154.06,90.93,1314748.04,775996.62,538751.42
501228749,46,7,1,C,2012-03-27,2012-04-12,3580,205.7,117.11,736406.0,419253.8,317152.2
720990073,47,12,1,C,2017-10-22,2017-11-25,5840,154.06,90.93,899710.4,531031.2,368679.2
398864495,36,7,2,C,2013-12-29,2014-01-24,1723,205.7,117.11,354421.1,201780.53,152640.57
769275844,48,1,1,L,2019-01-30,2019-02-13,4672,421.89,364.69,1971070.08,1703831.68,267238.4
886960446,49,1,1,H,2010-01-27,2010-02-25,161,421.89,364.69,67924.29,58715.09,9209.2
776967132,50,4,2,C,2013-08-11,2013-09-22,695,9.33,6.92,6484.35,4809.4,1674.95
984657227,51,12,1,H,2015-01-19,2015-02-25,810,154.06,90.93,124788.6,73653.3,51135.3
